Tamanho_Chave,Biblioteca,Mean_Time,Stddev_Time
2048,OpenSSL,0.02987,0.00357
2048,Libgcrypt,0.05023,0.00389
2048,Botan,0.06692,0.00045
2048,Crypto++,0.05692,0.00039
2048,Java Crypto,0.05053,0.00024
2048,Bouncy Castle,0.04409,0.00068
2048,Crypto,0.21637,0.02100
2048,Forge,0.89648,0.15249
2048,Pycryptodome,0.50886,0.00290
2048,Cryptography,0.03498,0.00015
2048,Rust Crypto,0.33035,0.00047
2048,Rust OpenSSL,0.02831,0.00007
3072,OpenSSL,0.05654,0.00467
3072,Libgcrypt,0.09445,0.00627
3072,Botan,0.12876,0.00044
3072,Crypto++,0.12895,0.00046
3072,Java Crypto,0.09630,0.00060
3072,Bouncy Castle,0.08860,0.00077
3072,Crypto,0.24875,0.02553
3072,Forge,1.63354,0.15513
3072,Pycryptodome,0.77378,0.00384
3072,Cryptography,0.06141,0.00050
3072,Rust Crypto,0.56127,0.00020
3072,Rust OpenSSL,0.05133,0.00002
4096,OpenSSL,0.09315,0.00600
4096,Libgcrypt,0.13279,0.00627
4096,Botan,0.13265,0.00690
4096,Crypto++,0.13339,0.00046
4096,Java Crypto,0.16154,0.00105
4096,Bouncy Castle,0.14738,0.00077
4096,Crypto,0.29556,0.02341
4096,Forge,2.69379,0.15513
4096,Pycryptodome,1.04386,0.00472
4096,Cryptography,0.10570,0.00050
4096,Rust Crypto,0.97063,0.00038
4096,Rust OpenSSL,0.09079,0.00002
