Tamanho_Chave,Biblioteca,Mean_Time,Stddev_Time
2048,OpenSSL,271.27820,0.53443
2048,Libgcrypt,382.42141,0.63202
2048,Botan,95.37028,3.04459
2048,Crypto++,46.26265,0.92296
2048,Java Crypto,106.22297,0.66245
2048,Bouncy Castle,177.63452,1.51698
2048,Crypto,208.91001,0.00727
2048,Forge,250.93325,0.48656
2048,Pycryptodome,423.34061,0.14704
2048,Cryptography,61.29260,0.32121
2048,Rust Crypto,227.04560,0.59539
2048,Rust OpenSSL,245.71590,0.29927
3072,OpenSSL,532.53443,8.78488
3072,Libgcrypt,632.02448,32.78818
3072,Botan,459.34518,2.86893
3072,Crypto++,295.95392,4.94713
3072,Java Crypto,454.26509,8.74129
3072,Bouncy Castle,697.17563,2.77199
3072,Crypto,707.10666,32.07796
3072,Forge,560.79067,2.15911
3072,Pycryptodome,70.04144,3.63106
3072,Cryptography,209.25136,5.57670
3072,Rust Crypto,970.50932,1.63288
3072,Rust OpenSSL,731.81295,2.61752
4096,OpenSSL,878.48780,10.15392
4096,Libgcrypt,1063.10586,84.18413
4096,Botan,689.28584,37.42080
4096,Crypto++,471.30469,3.42171
4096,Java Crypto,1293.87026,4.14810
4096,Bouncy Castle,1996.36365,5.77259
4096,Crypto,2077.96036,1.06649
4096,Forge,1146.69700,5.77259
4096,Pycryptodome,763.10586,0.36311
4096,Cryptography,766.96745,4.82513
4096,Rust Crypto,2880.06821,0.09848
4096,Rust OpenSSL,1751.64830,4.07297
